"idp","refugee","pop","perc.moving"
"AFG",142505,2166145,28397812,8.13
"ALA",0,0,NA,NA
"ALB",0,12721,NA,NA
"DZA",0,12037,34895000,0.03
"ASM",0,0,NA,NA
"AND",0,9,NA,NA
"AGO",0,215827,18498000,1.17
"AIA",0,0,NA,NA
"ATA",0,0,NA,NA
"ATG",0,0,NA,NA
"ARG",0,856,NA,NA
"ARM",0,13965,NA,NA
"ABW",0,0,NA,NA
"Ashm",0,0,NA,NA
"AUS",0,44,NA,NA
"AUT",0,66,NA,NA
"AZE",578545,233675,NA,NA
"BHS",0,1,NA,NA
"BHR",0,41,1251513,0
"BGD",0,7292,156050883,0
"BRB",0,8,NA,NA
"BLR",0,8857,NA,NA
"BEL",0,95,NA,NA
"BLZ",0,8,NA,NA
"BEN",0,411,8935000,0
"BMU",0,2,NA,NA
"BTN",0,106537,716939,14.86
"BOL",0,269,NA,NA
"BIH",182747,62975,NA,NA
"BWA",0,4,1950000,0
"IOT",0,0,NA,NA
"BRA",0,370,NA,NA
"VGB",0,0,NA,NA
"BRN",0,0,NA,NA
"BGR",0,4254,NA,NA
"BFA",0,607,15757000,0
"BDI",11500,45085,8303000,0.68
"KHM",0,15449,NA,NA
"CMR",0,9095,19522000,0.05
"CAN",0,122,NA,NA
"CPV",0,5,506000,0
"CYM",0,0,NA,NA
"CAF",0,42890,4422000,0.97
"TCD",0,48390,11206000,0.43
"CHL",0,938,NA,NA
"CHN",0,124100,NA,NA
"COL",2e+06,60450,NA,NA
"COM",0,61,676000,0.01
"COG",0,24433,3683000,0.66
"COD",0,280792,66020000,0.43
"COK",0,0,NA,NA
"CRI",0,178,NA,NA
"HRV",4804,18497,NA,NA
"CUB",0,19000,NA,NA
"CUW",0,0,NA,NA
"CYP",0,5,NA,NA
"CZE",0,3589,NA,NA
"DNK",0,12,NA,NA
"DJI",0,504,516055,0.1
"DMA",0,30,NA,NA
"DOM",0,67,NA,NA
"TLS",0,0,1079450,0
"ECU",0,775,NA,NA
"EGY",0,6291,83082869,0.01
"SLV",0,4281,NA,NA
"GNQ",0,0,676000,0
"ERI",0,144060,5073000,2.84
"EST",0,743,NA,NA
"ETH",0,65446,79221000,0.08
"FLK",0,0,NA,NA
"FRO",0,0,NA,NA
"FJI",0,1379,NA,NA
"FIN",0,5,NA,NA
"PYF",0,0,NA,NA
"ATF",0,0,NA,NA
"FRA",0,286,NA,NA
"GUF",0,0,NA,NA
"GAB",0,81,1475000,0.01
"GMB",0,1683,1705000,0.1
"Gaza",0,0,NA,NA
"GEO",234249,7301,NA,NA
"DEU",0,78,NA,NA
"GHA",0,18432,23837000,0.08
"GRC",0,331,NA,NA
"GRL",0,0,NA,NA
"GRD",0,152,NA,NA
"GUM",0,0,NA,NA
"GTM",0,3379,NA,NA
"GGY",0,0,NA,NA
"GIN",0,5820,10069000,0.06
"GNB",0,0,1611000,0
"GUY",0,406,NA,NA
"HTI",0,13542,NA,NA
"HMD",0,0,NA,NA
"HND",0,535,NA,NA
"HKG",0,0,NA,NA
"HUN",0,3519,NA,NA
"ISL",0,7,NA,NA
"IND",0,16285,1205624648,0
"IOA",0,0,NA,NA
"IDN",0,34384,240271522,0.01
"IRN",0,99420,74462314,0.13
"IRQ",1200000,262235,30962380,4.72
"IRL",0,21,NA,NA
"IMN",0,0,NA,NA
"ISR",0,632,NA,NA
"ITA",0,217,NA,NA
"CIV",38039,18286,21075000,0.27
"JAM",0,489,NA,NA
"JPN",0,13,NA,NA
"JEY",0,0,NA,NA
"JOR",0,1789,6454554,0.03
"KAZ",0,4316,NA,NA
"KEN",0,4640,39802000,0.01
"KIR",0,33,NA,NA
"KOS",0,0,NA,NA
"KWT",0,381,2991580,0.01
"KGZ",0,3122,NA,NA
"LAO",0,0,NA,NA
"LVA",0,2430,NA,NA
"LBN",0,18323,4341092,0.42
"LSO",0,6,2067000,0
"LBR",237822,230918,3476608,13.48
"LBY",0,0,6310434,0
"LIE",0,0,NA,NA
"LTU",0,1448,NA,NA
"LUX",0,1,NA,NA
"MAC",0,0,NA,NA
"MKD",0,7971,NA,NA
"MDG",0,203,19625000,0
"MWI",0,101,15263000,0
"MYS",0,394,NA,NA
"MDV",0,13,325694,0
"MLI",0,520,13010000,0
"MLT",0,5,NA,NA
"MHL",0,0,NA,NA
"MRT",0,31650,3291000,0.96
"MUS",0,27,1288000,0
"MEX",0,2313,NA,NA
"FSM",0,0,NA,NA
"MDA",0,12064,NA,NA
"MCO",0,0,NA,NA
"MNG",0,654,NA,NA
"MNE",0,0,NA,NA
"MSR",0,0,NA,NA
"MAR",0,2920,34859364,0.01
"MOZ",0,104,22894000,0
"MMR",0,164854,48137741,0.34
"CYN",0,0,NA,NA
"PRK",0,288,24500520,0
"MNP",0,0,NA,NA
"KAS",0,0,NA,NA
"NAM",0,1226,2171000,0.06
"NRU",0,0,NA,NA
"NPL",0,2056,28563377,0.01
"NLD",0,159,NA,NA
"NCL",0,0,NA,NA
"NZL",0,4,NA,NA
"NIC",0,1463,NA,NA
"NER",0,655,15290000,0
"NGA",0,22126,154729000,0.01
"NIU",0,0,NA,NA
"NFK",0,0,NA,NA
"NOR",0,15,NA,NA
"OMN",0,12,2802768,0
"PAK",0,29890,173149306,0.02
"PLW",0,0,NA,NA
"PAN",0,42,NA,NA
"PNG",0,23,NA,NA
"PRY",0,44,NA,NA
"PER",0,4865,NA,NA
"PHL",0,465,NA,NA
"PCN",0,0,NA,NA
"POL",0,19641,NA,NA
"PRT",0,74,NA,NA
"PRI",0,0,NA,NA
"QAT",0,11,1749713,0
"ROU",0,11502,NA,NA
"RUS",170544,103036,NA,NA
"RWA",0,100240,9998000,1
"SGS",0,0,NA,NA
"KOR",0,0,NA,NA
"SSD",0,0,9940929,0
"SHN",0,0,NA,NA
"LCA",0,99,NA,NA
"WSM",0,0,NA,NA
"SMR",0,1,NA,NA
"STP",0,24,212679,0.01
"SAU",0,151,28686633,0
"SEN",0,1351,12534000,0.01
"SRB",0,0,NA,NA
"SYC",0,40,87476,0.05
"SLE",0,40188,5696000,0.71
"SGP",0,39,NA,NA
"SXM",0,0,NA,NA
"SVK",0,791,NA,NA
"SVN",0,155,NA,NA
"SLB",0,0,NA,NA
"SOM",4e+05,389924,9832017,8.03
"SOL",0,0,NA,NA
"ZAF",0,268,49320500,0
"ESP",0,49,NA,NA
"LKA",324699,108131,20758779,2.09
"BLM",0,0,NA,NA
"KNA",0,0,NA,NA
"MAF",0,0,NA,NA
"SPM",0,0,NA,NA
"VCT",0,0,NA,NA
"SDN",841946,693628,35652002,4.31
"SUR",0,29,NA,NA
"SWZ",0,13,1185000,0
"SWE",0,75,NA,NA
"CHE",0,16,NA,NA
"SYR",0,16401,21532647,0.08
"TWN",0,0,NA,NA
"TJK",0,54753,NA,NA
"TZA",0,0,43739000,0
"THA",0,424,66402316,0
"TGO",3000,51102,6619000,0.82
"TON",0,4,NA,NA
"TTO",0,63,NA,NA
"TUN",0,3129,NA,NA
"TUR",0,170551,72137546,0.24
"TKM",0,820,NA,NA
"TCA",0,0,NA,NA
"TUV",0,0,NA,NA
"VIR",0,0,NA,NA
"UGA",0,34224,32710000,0.1
"UKR",0,84228,46050220,0.18
"ARE",0,30,8441537,0
"GBR",0,135,NA,NA
"USA",0,683,NA,NA
"URY",0,111,NA,NA
"UZB",0,8322,NA,NA
"VUT",0,0,NA,NA
"VAT",0,0,NA,NA
"VEN",0,2590,NA,NA
"VNM",0,0,NA,NA
"ESH",0,0,NA,NA
"WLF",0,0,NA,NA
"PSE",0,0,4012880,0
"YEM",0,1325,23822783,0.01
"ZMB",0,151,12935000,0
"ZWE",0,11251,12523000,0.09
