Ref,countriesLow,ISO3,WHO_code,WHO_country,SHP_CNTRY_NAME,GlobalGood,sPDF,UNHCR,GBD_study,UNESA,WHO_surveillance
2,Afghanistan,AFG,AFG,Afghanistan,afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan
6,Aland,ALA,XXX,Aland,XXX,Aland,Aland,Aland,Aland,Aland,Aland
5,Albania,ALB,XXX,Albania,XXX,Albania,Albania,Albania,Albania,Albania,Albania
63,Algeria,DZA,ALG,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria
11,American Samoa,ASM,XXX,American Samoa,XXX,American Samoa,American Samoa,American Samoa,American Samoa,American Samoa,American Samoa
7,Andorra,AND,XXX,Andorra,XXX,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra
3,Angola,AGO,ANG,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola
4,Anguilla,AIA,XXX,Anguilla,XXX,Anguilla,Anguilla,Anguilla,Anguilla,Anguilla,Anguilla
12,Antarctica,ATA,XXX,Antarctica,XXX,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica
15,Antigua and Barb.,ATG,XXX,Antigua and Barb.,XXX,Antigua and Barb.,Antigua and Barb.,Antigua and Barb.,Antigua and Barb.,Antigua and Barb.,Antigua and Barb.
9,Argentina,ARG,XXX,Argentina,XXX,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina
10,Armenia,ARM,XXX,Armenia,XXX,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia
1,Aruba,ABW,XXX,Aruba,XXX,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba
13,Ashmore and Cartier Is.,Ashm,XXX,Ashmore and Cartier Is.,XXX,Ashmore and Cartier Is.,Ashmore and Cartier Islands,Ashmore and Cartier Is.,Ashmore and Cartier Is.,Ashmore and Cartier Is.,Ashmore and Cartier Is.
16,Australia,AUS,XXX,Australia,XXX,Australia,Australia,Australia,Australia,Australia,Australia
17,Austria,AUT,XXX,Austria,XXX,Austria,Austria,Austria,Austria,Austria,Austria
18,Azerbaijan,AZE,XXX,Azerbaijan,XXX,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan
26,Bahamas,BHS,XXX,Bahamas,XXX,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas
25,Bahrain,BHR,BHR,Bahrain,bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain
23,Bangladesh,BGD,BAN,Bangladesh,bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh
34,Barbados,BRB,XXX,Barbados,XXX,Barbados,Barbados,Barbados,Barbados,Barbados,Barbados
29,Belarus,BLR,XXX,Belarus,XXX,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus
20,Belgium,BEL,XXX,Belgium,XXX,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium
30,Belize,BLZ,XXX,Belize,XXX,Belize,Belize,Belize,Belize,Belize,Belize
21,Benin,BEN,BEN,Benin,Benin,Benin,Benin,Benin,Benin,Benin,Benin
31,Bermuda,BMU,XXX,Bermuda,XXX,Bermuda,Bermuda,Bermuda,Bermuda,Bermuda,Bermuda
36,Bhutan,BTN,BTN,Bhutan,bhutan,Bhutan,Bhutan,Bhutan,Bhutan,Bhutan,Bhutan
32,Bolivia,BOL,XXX,Bolivia,XXX,Bolivia,Bolivia,Plurinational State of Bolivia,Bolivia,Plurinational State of Bolivia,Bolivia
27,Bosnia and Herz.,BIH,XXX,Bosnia and Herz.,XXX,Bosnia and Herz.,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herz.,Bosnia and Herzegovina,Bosnia and Herz.
37,Botswana,BWA,BOT,Botswana,Botswana,Botswana,Botswana,Botswana,Botswana,Botswana,Botswana
102,Br. Indian Ocean Ter.,IOT,XXX,Br. Indian Ocean Ter.,XXX,Br. Indian Ocean Ter.,Br. Indian Ocean Ter.,Br. Indian Ocean Ter.,Br. Indian Ocean Ter.,Br. Indian Ocean Ter.,Br. Indian Ocean Ter.
33,Brazil,BRA,XXX,Brazil,XXX,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil
232,British Virgin Is.,VGB,XXX,British Virgin Is.,XXX,British Virgin Is.,British Virgin Is.,British Virgin Is.,British Virgin Is.,British Virgin Is.,British Virgin Is.
35,Brunei,BRN,XXX,Brunei,XXX,Brunei,Brunei,Brunei,Brunei,Brunei,Brunei
24,Bulgaria,BGR,XXX,Bulgaria,XXX,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria
22,Burkina Faso,BFA,BFA,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso
19,Burundi,BDI,BUU,Burundi,Burundi,Burundi,Burundi,Burundi,Burundi,Burundi,Burundi
117,Cambodia,KHM,XXX,Cambodia,XXX,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia
44,Cameroon,CMR,CAE,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon
39,Canada,CAN,XXX,Canada,XXX,Canada,Canada,Canada,Canada,Canada,Canada
50,Cape Verde,CPV,CAV,Cape Verde,Cape Verde,CAPE VERDE,Cape Verde,Cape Verde,Cape Verde,Cabo Verde,Cape Verde
54,Cayman Is.,CYM,XXX,Cayman Is.,XXX,Cayman Is.,Cayman Is.,Cayman Is.,Cayman Is.,Cayman Is.,Cayman Is.
38,Central African Rep.,CAF,CAF,Central African Republic,Central African Republic,central african republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic
212,Chad,TCD,CHA,Chad,Chad,Chad,Chad,Chad,Chad,Chad,Chad
41,Chile,CHL,XXX,Chile,XXX,Chile,Chile,Chile,Chile,Chile,Chile
42,China,CHN,XXX,China,XXX,China,China,China,China,China,China
48,Colombia,COL,XXX,Colombia,XXX,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia
49,Comoros,COM,COM,Comoros,Comoros,Comoros,Comoros,Comoros,Comoros,Comoros,Comoros
46,Congo (Brazzaville),COG,CNG,DRCongo,Congo,Congo,Republic of the Congo,Congo,Congo,Congo,Congo
45,Congo (Kinshasa),COD,RDC,Congo,Zaire,democratic republic of the congo,Democratic Republic of the Congo,Democratic Republic of the Congo,Democratic Republic of the Congo,Democratic Republic of the Congo,Congo
47,Cook Is.,COK,XXX,Cook Is.,XXX,Cook Is.,Cook Is.,Cook Is.,Cook Is.,Cook Is.,Cook Is.
51,Costa Rica,CRI,XXX,Costa Rica,XXX,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica
95,Croatia,HRV,XXX,Croatia,XXX,Croatia,Croatia,Croatia,Croatia,Croatia,Croatia
